season,week,game_id,game_date,posteam,home_team,away_team,passer_player_name,receiver_player_name,passing_yards,pass_touchdown,first_down
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,C.Dillon,16,0,1
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,B.Watson,5,0,0
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,T.Brown,9,1,1
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,R.Caldwell,9,0,1
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,C.Dillon,6,0,0
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,B.Watson,34,0,1
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,T.Brown,9,0,0
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,K.Faulk,17,1,1
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,B.Watson,11,0,1
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,R.Caldwell,24,0,1
2006,1,2006_01_BUF_NE,2006-09-10,NE,NE,BUF,T.Brady,D.Graham,23,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,T.Brown,15,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,C.Jackson,29,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,B.Watson,14,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,D.Thomas,29,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,D.Graham,29,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,R.Caldwell,8,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,T.Brown,14,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,B.Watson,23,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,C.Jackson,13,1,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,T.Brown,14,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,B.Watson,2,0,0
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,R.Caldwell,6,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,K.Faulk,6,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,T.Brown,8,0,1
2006,2,2006_02_NE_NYJ,2006-09-17,NE,NYJ,NE,T.Brady,K.Faulk,10,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,B.Watson,5,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,T.Brown,9,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,R.Caldwell,10,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,T.Brown,5,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,L.Maroney,11,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,L.Maroney,0,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,R.Caldwell,23,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,D.Graham,7,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,B.Watson,17,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,L.Maroney,31,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,R.Caldwell,13,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,K.Faulk,4,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,L.Maroney,5,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,T.Brown,23,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,B.Watson,12,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,K.Faulk,7,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,D.Gabriel,18,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,T.Brown,4,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,D.Gabriel,12,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,B.Watson,8,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,K.Faulk,6,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,K.Faulk,7,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,D.Gabriel,6,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,L.Maroney,14,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,D.Gabriel,8,1,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,K.Faulk,2,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,B.Watson,8,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,K.Faulk,8,0,0
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,B.Watson,16,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,D.Gabriel,12,0,1
2006,3,2006_03_DEN_NE,2006-09-24,NE,NE,DEN,T.Brady,D.Gabriel,9,0,0
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,K.Faulk,18,0,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Gabriel,6,0,0
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Gabriel,7,0,0
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,R.Caldwell,14,0,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,B.Watson,35,0,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,R.Caldwell,6,0,0
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Gabriel,25,1,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Graham,5,0,0
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Graham,15,0,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Gabriel,19,0,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,L.Maroney,15,0,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Graham,11,0,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,D.Graham,3,1,1
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,C.Jackson,7,0,0
2006,4,2006_04_NE_CIN,2006-10-01,NE,CIN,NE,T.Brady,C.Jackson,2,0,0
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,T.Brown,11,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,H.Evans,10,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,T.Brown,8,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,D.Gabriel,7,0,0
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,R.Caldwell,5,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,T.Brown,10,1,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,D.Gabriel,0,0,0
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,B.Watson,9,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,B.Watson,4,0,0
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,T.Brown,15,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,K.Faulk,15,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,T.Brown,14,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,B.Watson,5,0,0
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,H.Evans,1,1,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,D.Thomas,11,0,1
2006,5,2006_05_MIA_NE,2006-10-08,NE,NE,MIA,T.Brady,B.Watson,15,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,R.Caldwell,5,0,0
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,R.Caldwell,6,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,R.Caldwell,8,0,0
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,L.Maroney,1,0,0
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,B.Watson,14,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,T.Brown,9,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,R.Caldwell,0,0,0
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,D.Gabriel,9,0,0
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,K.Faulk,11,0,0
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,R.Caldwell,3,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,B.Watson,8,0,0
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,B.Watson,20,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,C.Jackson,35,1,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,B.Watson,17,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,D.Gabriel,31,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,T.Brown,12,0,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,D.Gabriel,5,1,1
2006,7,2006_07_NE_BUF,2006-10-22,NE,BUF,NE,T.Brady,B.Watson,1,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,B.Watson,8,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,D.Gabriel,45,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,D.Gabriel,16,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,T.Brown,5,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,B.Watson,14,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,R.Caldwell,6,1,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,D.Gabriel,6,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,D.Gabriel,9,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,B.Watson,40,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,L.Maroney,20,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,D.Thomas,12,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,R.Caldwell,11,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,J.Gaffney,4,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,R.Caldwell,34,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,R.Caldwell,12,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,K.Faulk,6,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,B.Watson,9,1,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,R.Caldwell,8,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,B.Watson,6,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,T.Brown,7,1,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,R.Caldwell,15,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,C.Dillon,27,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,D.Gabriel,7,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,B.Watson,10,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,R.Caldwell,-2,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,L.Maroney,13,0,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,C.Jackson,10,1,1
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,K.Faulk,6,0,0
2006,8,2006_08_NE_MIN,2006-10-30,NE,MIN,NE,T.Brady,B.Watson,8,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,B.Watson,15,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,C.Jackson,9,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,T.Brown,6,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,L.Maroney,-1,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,D.Gabriel,39,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,K.Faulk,5,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,K.Faulk,14,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,R.Caldwell,21,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,T.Brown,5,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,K.Faulk,6,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,K.Faulk,3,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,T.Brown,8,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,T.Brown,12,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,B.Watson,7,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,K.Faulk,3,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,C.Dillon,5,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,D.Gabriel,6,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,T.Brown,6,0,0
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,B.Watson,7,0,1
2006,9,2006_09_IND_NE,2006-11-05,NE,NE,IND,T.Brady,B.Watson,25,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,D.Gabriel,8,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,C.Dillon,5,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,3,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,12,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,C.Jackson,5,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,10,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,D.Gabriel,22,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,D.Graham,6,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,K.Faulk,4,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,J.Gaffney,19,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,T.Brown,2,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,K.Faulk,5,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,C.Jackson,0,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,J.Gaffney,13,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,8,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,6,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,7,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,10,0,0
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,B.Watson,6,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,J.Gaffney,33,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,T.Brown,13,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,15,1,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,K.Faulk,14,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,B.Watson,10,0,1
2006,10,2006_10_NYJ_NE,2006-11-12,NE,NE,NYJ,T.Brady,R.Caldwell,19,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,K.Faulk,13,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,B.Watson,36,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,T.Brown,5,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,D.Graham,2,1,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,L.Maroney,1,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,R.Caldwell,9,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,J.Gaffney,4,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,T.Brown,11,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,L.Maroney,9,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,L.Maroney,5,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,T.Brown,5,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,B.Watson,4,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,R.Caldwell,54,1,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,R.Caldwell,7,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,C.Jackson,21,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,B.Watson,13,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,T.Brown,5,0,0
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,B.Watson,8,1,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,B.Watson,13,0,1
2006,11,2006_11_NE_GB,2006-11-19,NE,GB,NE,T.Brady,L.Maroney,19,1,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,10,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,L.Maroney,4,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,T.Brown,13,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,K.Faulk,7,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,D.Graham,25,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,9,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,R.Caldwell,15,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,L.Maroney,12,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,C.Dillon,3,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,K.Faulk,4,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,K.Faulk,7,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,K.Faulk,6,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,L.Maroney,9,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,K.Faulk,4,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,L.Maroney,20,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,23,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,5,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,40,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,K.Faulk,9,0,0
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,B.Watson,2,1,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,R.Caldwell,22,0,1
2006,12,2006_12_CHI_NE,2006-11-26,NE,NE,CHI,T.Brady,R.Caldwell,20,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,21,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,18,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,19,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,5,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,D.Graham,9,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,5,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,C.Dillon,5,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,J.Gaffney,28,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,B.Watson,23,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,1,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,R.Caldwell,28,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,20,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,D.Gabriel,12,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,D.Graham,15,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,13,0,1
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,K.Faulk,2,0,0
2006,13,2006_13_DET_NE,2006-12-03,NE,NE,DET,T.Brady,B.Watson,9,0,1
